10 2500
6 1 105
2 8 616
9 1 677
9 9 518
4 2 562
5 9 338
0 3 474
7 3 457
3 7 125
7 6 306
0 5 70
7 1 647
5 1 183
5 7 234
9 5 698
0 2 544
1 0 19
9 0 34
6 7 567
9 6 160
2 7 931
1 1 264
6 6 288
3 4 733
7 6 386
6 8 262
8 6 11
8 2 648
6 5 715
1 1 673
1 6 468
8 9 783
0 7 767
7 7 206
3 3 676
5 2 420
1 4 47
4 6 495
9 7 797
7 4 607
0 9 369
7 8 148
2 5 256
2 1 558
4 9 860
1 1 207
4 7 561
4 3 916
2 5 307
9 3 669
6 7 397
3 4 753
3 7 767
6 9 229
1 8 828
9 6 426
6 6 710
0 3 463
2 2 503
6 1 387
3 9 244
9 7 227
1 7 907
5 9 726
6 9 785
4 9 825
3 5 342
3 9 151
3 4 530
7 6 387
4 3 156
8 7 464
1 6 512
9 9 393
0 5 178
8 4 723
1 7 103
2 9 701
6 1 788
0 8 918
2 8 160
8 5 975
6 2 654
2 3 236
1 9 833
1 3 477
7 6 434
5 5 999
5 5 519
0 8 937
8 0 176
4 6 872
9 0 308
8 6 50
4 1 505
9 4 507
3 2 50
9 1 917
1 4 557
4 2 840
6 4 37
6 1 761
4 4 648
7 0 231
9 9 741
7 9 49
0 1 474
7 5 338
6 5 698
4 6 591
4 3 677
9 9 675
2 6 975
2 2 74
9 7 182
2 5 357
8 8 269
7 1 50
3 0 904
9 7 898
9 6 43
0 9 654
1 1 971
2 6 599
5 2 566
5 7 221
9 9 169
7 1 689
8 9 288
2 5 771
6 3 505
4 4 215
7 3 218
2 2 188
7 6 988
4 8 166
5 4 500
4 4 192
9 0 719
7 3 266
7 7 634
4 5 595
6 3 206
5 2 384
0 5 75
6 4 258
5 1 458
9 6 371
9 8 168
8 9 6
8 2 951
7 9 435
1 6 914
0 2 918
3 0 100
6 7 384
3 1 446
8 2 437
1 4 236
3 6 490
8 4 563
2 3 133
0 4 441
1 1 635
2 8 383
8 9 812
7 8 359
4 4 874
9 7 907
